epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.20832,1.53612,6.4213,3.27143,1.88211,0.37164,0.36,0.26821,0.10287,0.3218,0.36,0.19657,0.07615,1.73122,5.53593,4.04554,2.28348,6e-05,6e-05,6e-05
2,9.98466,1.13281,4.97395,2.74317,1.52401,0.30458,0.6,0.31669,0.14016,0.22149,0.44,0.19613,0.05902,1.41511,5.06307,6.44472,1.98536,0.000137228,0.000137228,0.000137228
3,12.5181,1.32956,3.98569,3.38912,1.59341,0.54005,0.6,0.54229,0.26803,0.3952,0.52,0.41722,0.19743,1.30755,3.6336,2.6937,1.91711,0.000211288,0.000211288,0.000211288
4,14.729,1.34746,3.98405,2.54057,1.81916,0.59027,0.84,0.74023,0.44237,0.42162,0.6,0.47492,0.2278,1.10079,3.01018,5.31228,1.68769,0.00028218,0.00028218,0.00028218
5,16.8078,1.16687,2.66542,1.74899,1.4491,0.44743,0.52,0.36758,0.17534,0.46572,0.48,0.42973,0.17274,1.29684,2.67415,8.00463,1.92825,0.000349904,0.000349904,0.000349904
6,18.6573,1.30595,2.5364,1.71445,1.51123,0.2252,0.48,0.27761,0.12188,0.25782,0.52,0.4175,0.13482,1.34158,2.63631,9.96844,1.99198,0.00041446,0.00041446,0.00041446
7,20.5038,1.08288,2.44652,1.94693,1.44817,0.55142,0.8,0.73631,0.42621,0.60516,0.88,0.81577,0.43783,1.25901,2.27784,8.14088,2.01111,0.000475848,0.000475848,0.000475848
8,22.3689,1.05777,1.85518,1.7451,1.44999,0.73913,0.68,0.73337,0.42676,0.78261,0.72,0.77296,0.43735,1.16984,2.41593,16.2163,1.82124,0.000534068,0.000534068,0.000534068
9,24.394,1.14826,1.98008,1.43884,1.79211,0.65169,0.76,0.72956,0.28676,0.61739,0.72,0.63626,0.37032,1.54699,2.39671,16.1135,2.43715,0.00058912,0.00058912,0.00058912
10,26.4058,1.2026,2.53366,1.64713,1.42537,0.46466,0.92,0.72145,0.37793,0.51633,0.92,0.77763,0.44482,1.25841,2.52883,8.22154,1.92043,0.000641004,0.000641004,0.000641004
11,28.7782,1.08098,1.97244,1.61265,1.37131,0.19588,0.76,0.19868,0.08155,0.20619,0.8,0.22337,0.09782,1.65595,3.50387,28.8995,2.79785,0.00068972,0.00068972,0.00068972
12,30.8862,1.07873,1.39987,1.25045,1.37986,0.57143,0.32,0.54654,0.25486,0.30244,0.8,0.45094,0.29043,1.46093,2.72336,7.46887,2.39074,0.000735268,0.000735268,0.000735268
13,32.7147,1.06036,2.05388,1.73485,1.58632,0.4415,0.79067,0.61465,0.31445,0.41996,0.75311,0.5621,0.35949,1.50945,2.36557,2.49642,2.3127,0.000777648,0.000777648,0.000777648
14,34.8021,1.28272,1.92214,1.3896,1.5512,0.46841,0.56405,0.54744,0.1984,0.5362,0.64761,0.64269,0.33268,1.79098,2.32197,4.32445,2.77803,0.00081686,0.00081686,0.00081686
15,36.671,0.91884,1.29914,1.01656,1.24737,0.53299,0.56,0.5479,0.2518,0.63193,0.68,0.68778,0.35279,1.92095,2.2797,4.20971,2.74537,0.000852904,0.000852904,0.000852904
16,38.5634,1.2205,1.81728,1.37352,1.57588,0.53299,0.56,0.5479,0.2518,0.63193,0.68,0.68778,0.35279,1.92095,2.2797,4.20971,2.74537,0.00088578,0.00088578,0.00088578
17,40.4931,1.12671,1.47961,1.21976,1.46071,0.21417,0.36,0.23076,0.08853,0.30611,0.48,0.34622,0.18039,2.56404,3.88029,6.18695,3.56866,0.000915488,0.000915488,0.000915488
18,42.3445,1.14983,1.40027,1.10511,1.43462,0.08561,0.64,0.07797,0.04002,0.1018,0.76,0.09851,0.05328,1.73165,2.27082,14.5855,2.677,0.000942028,0.000942028,0.000942028
19,44.4011,1.13899,2.05096,1.30861,1.5189,0.08561,0.64,0.07797,0.04002,0.1018,0.76,0.09851,0.05328,1.73165,2.27082,14.5855,2.677,0.0009654,0.0009654,0.0009654
20,46.427,1.09261,1.2315,1.544,1.25292,0.84175,0.88,0.89412,0.43545,0.84175,0.88,0.89412,0.50499,1.37456,1.80857,1.5044,2.24039,0.000985604,0.000985604,0.000985604
21,48.5312,1.07584,1.32482,1.05286,1.37127,0.46315,0.64,0.46659,0.22591,0.477,0.72,0.47573,0.275,1.61472,1.68546,2.95817,2.33683,0.00100264,0.00100264,0.00100264
22,50.3943,1.30372,2.11121,1.3282,1.45257,0.46315,0.64,0.46659,0.22591,0.477,0.72,0.47573,0.275,1.61472,1.68546,2.95817,2.33683,0.00101651,0.00101651,0.00101651
23,52.4421,1.26338,2.07824,1.2355,1.47815,0.29981,0.76,0.32902,0.16618,0.30944,0.76,0.34398,0.19659,1.8057,2.20001,6.57971,2.82561,0.00102721,0.00102721,0.00102721
24,54.1798,1.12751,1.62574,0.97175,1.33202,0.29981,0.76,0.32902,0.16618,0.30944,0.76,0.34398,0.19659,1.8057,2.20001,6.57971,2.82561,0.00103474,0.00103474,0.00103474
25,55.9529,1.16057,1.62351,1.2254,1.52445,0.64362,0.88,0.83491,0.46751,0.64362,0.88,0.82721,0.47965,1.28685,1.78424,2.81454,1.85996,0.0010391,0.0010391,0.0010391
26,57.9484,0.98037,1.39758,1.02808,1.28542,0.64362,0.88,0.83491,0.46751,0.64362,0.88,0.82721,0.47965,1.28685,1.78424,2.81454,1.85996,0.00101,0.00101,0.00101
27,60.2098,1.08353,1.80724,1.35522,1.52072,0.69006,0.80157,0.89058,0.56235,0.74467,0.88,0.89655,0.58369,1.24871,1.39376,2.56136,1.91754,0.0009704,0.0009704,0.0009704
28,62.2037,1.11978,1.85159,0.9486,1.41621,0.69006,0.80157,0.89058,0.56235,0.74467,0.88,0.89655,0.58369,1.24871,1.39376,2.56136,1.91754,0.0009308,0.0009308,0.0009308
29,64.2617,1.27798,1.75873,1.02138,1.52896,0.83019,0.88,0.93454,0.59891,0.79006,0.92,0.94229,0.65215,1.22002,1.21062,2.02377,1.80149,0.0008912,0.0008912,0.0008912
30,66.1863,1.30633,1.53761,4.01831,1.41297,0.83019,0.88,0.93454,0.59891,0.79006,0.92,0.94229,0.65215,1.22002,1.21062,2.02377,1.80149,0.0008516,0.0008516,0.0008516
31,68.1375,0.95564,1.45879,0.95144,1.24268,0.78797,0.8,0.8368,0.42032,0.86743,0.88,0.90624,0.55103,1.44191,1.2319,1.80476,2.05473,0.000812,0.000812,0.000812
32,69.9407,0.84576,1.85542,1.28971,1.30817,0.78797,0.8,0.8368,0.42032,0.86743,0.88,0.90624,0.55103,1.44191,1.2319,1.80476,2.05473,0.0007724,0.0007724,0.0007724
33,71.973,1.26064,1.16978,1.17052,1.51471,0.76733,0.72,0.79468,0.41075,0.90231,0.84,0.91456,0.57975,1.66645,1.25263,1.5784,2.28504,0.0007328,0.0007328,0.0007328
34,74.1594,1.16441,1.2342,2.31848,1.44766,0.76733,0.72,0.79468,0.41075,0.90231,0.84,0.91456,0.57975,1.66645,1.25263,1.5784,2.28504,0.0006932,0.0006932,0.0006932
35,75.9967,0.80913,1.22566,0.86096,1.16632,0.89157,0.98706,0.9643,0.60105,0.89157,0.98706,0.9643,0.73763,1.03265,1.02193,1.17875,1.63455,0.0006536,0.0006536,0.0006536
36,78.0621,0.63955,0.95714,0.69804,1.04578,0.89157,0.98706,0.9643,0.60105,0.89157,0.98706,0.9643,0.73763,1.03265,1.02193,1.17875,1.63455,0.000614,0.000614,0.000614
37,80.0377,0.74094,1.2565,0.7788,1.14998,0.96113,0.98942,0.99192,0.77685,0.96113,0.98942,0.99192,0.80016,0.74077,0.93098,1.01177,1.29485,0.0005744,0.0005744,0.0005744
38,81.8223,0.93893,1.79035,0.93596,1.18305,0.96113,0.98942,0.99192,0.77685,0.96113,0.98942,0.99192,0.80016,0.74077,0.93098,1.01177,1.29485,0.0005348,0.0005348,0.0005348
39,83.7856,1.02626,1.56279,0.96742,1.41303,0.91166,1,0.97005,0.75566,0.91166,1,0.97005,0.77247,0.68394,0.90251,1.13333,1.23823,0.0004952,0.0004952,0.0004952
40,85.7037,0.78436,1.00509,0.75108,1.12071,0.91166,1,0.97005,0.75566,0.91166,1,0.97005,0.77247,0.68394,0.90251,1.13333,1.23823,0.0004556,0.0004556,0.0004556
41,98.6126,0.69919,0.97645,1.14686,1.10826,0.92234,1,0.99044,0.79001,0.92234,1,0.99044,0.78518,0.67356,0.85127,0.88179,1.20516,0.000416,0.000416,0.000416
42,100.587,0.69048,1.77421,0.91563,1.22621,0.92234,1,0.99044,0.79001,0.92234,1,0.99044,0.78518,0.67356,0.85127,0.88179,1.20516,0.0003764,0.0003764,0.0003764
43,102.602,0.66754,0.89896,0.67574,1.22201,0.99546,1,0.995,0.82049,0.99546,1,0.995,0.81314,0.67488,0.79205,0.77488,1.17963,0.0003368,0.0003368,0.0003368
44,104.599,0.54557,0.79941,0.62317,1.12064,0.99546,1,0.995,0.82049,0.99546,1,0.995,0.81314,0.67488,0.79205,0.77488,1.17963,0.0002972,0.0002972,0.0002972
45,106.567,0.74396,0.80354,1.60631,1.20833,0.9975,1,0.995,0.84544,0.9975,1,0.995,0.8478,0.62631,0.73956,0.75604,1.14117,0.0002576,0.0002576,0.0002576
46,108.502,0.61147,0.80361,0.69659,1.08231,0.9975,1,0.995,0.84544,0.9975,1,0.995,0.8478,0.62631,0.73956,0.75604,1.14117,0.000218,0.000218,0.000218
47,110.385,0.65614,1.03804,1.26686,1.15048,0.99653,1,0.995,0.85511,0.99653,1,0.995,0.84771,0.58009,0.7083,0.68475,1.10562,0.0001784,0.0001784,0.0001784
48,112.209,0.63557,0.96035,0.69452,1.08239,0.99653,1,0.995,0.85511,0.99653,1,0.995,0.84771,0.58009,0.7083,0.68475,1.10562,0.0001388,0.0001388,0.0001388
49,114.162,0.59175,2.96198,0.76306,1.15648,0.99586,1,0.995,0.8602,0.99586,1,0.995,0.85203,0.5416,0.69791,0.6147,1.07565,9.92e-05,9.92e-05,9.92e-05
50,116.577,0.50526,0.94449,0.84511,0.99232,0.99586,1,0.995,0.8602,0.99586,1,0.995,0.85203,0.5416,0.69791,0.6147,1.07565,5.96e-05,5.96e-05,5.96e-05
