epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.2623,1.14203,4.35632,2.7232,1.52279,0.50021,0.76923,0.71669,0.33673,0.55098,0.66191,0.54763,0.33154,1.08115,2.57417,6.55187,1.47961,0.00022,0.00022,0.00022
2,64.9801,0.87663,2.29321,1.81703,1.26798,0.51981,0.69231,0.71514,0.43164,0.51981,0.69231,0.75363,0.47701,1.06837,2.32157,10.2226,1.80253,0.000454308,0.000454308,0.000454308
3,77.8945,0.96323,2.04454,1.43528,1.28291,0.64843,0.92308,0.84083,0.45387,0.64843,0.92308,0.84083,0.48381,1.44475,1.90457,4.06471,2.30137,0.000682675,0.000682675,0.000682675
4,93.0659,1.03323,1.82991,1.31624,1.33457,0.38929,0.53846,0.42444,0.21408,0.45049,0.61538,0.48922,0.28662,1.87038,5.44426,4.89013,2.52954,0.000905103,0.000905103,0.000905103
5,106.379,1.18026,2.16516,2.07966,1.41864,0.80868,0.76923,0.82544,0.47861,0.80868,0.76923,0.80257,0.50796,1.23793,2.19935,1.55762,1.74116,0.00112159,0.00112159,0.00112159
6,125.379,1.24401,2.05831,2.16264,1.4087,0.51404,0.81459,0.74428,0.43625,0.51404,0.81459,0.74428,0.43467,1.15804,2.64194,3.45396,1.70314,0.00133214,0.00133214,0.00133214
7,148.214,1.24659,1.67698,1.43797,1.41542,0.41859,0.92308,0.85588,0.37694,0.38371,0.84615,0.8169,0.38759,1.53515,5.08399,7.88103,2.62732,0.00153675,0.00153675,0.00153675
8,172.303,1.24109,1.71445,1.38675,1.4241,0.75,0.46154,0.68559,0.40407,0.75,0.46154,0.65784,0.30105,1.33779,6.71459,12.6259,2.6737,0.00173541,0.00173541,0.00173541
9,187.53,1.22761,1.52762,1.30824,1.38253,0.66667,0.76923,0.74327,0.38511,0.66667,0.76923,0.74327,0.45565,1.46201,2.69098,11.3021,2.40059,0.001802,0.001802,0.001802
10,203.728,1.15872,1.68578,1.18796,1.37962,0.66667,0.61538,0.64583,0.26,0.75,0.69231,0.74489,0.37861,1.64047,3.23906,9.94349,3.10304,0.00177725,0.00177725,0.00177725
11,268.496,1.1755,1.49301,1.08683,1.37218,0.57699,0.76923,0.70242,0.28549,0.6336,0.84615,0.78547,0.50698,1.53718,2.5818,5.67259,2.63431,0.0017525,0.0017525,0.0017525
12,341.705,1.23625,1.55178,1.13863,1.40388,0.27543,0.69231,0.51837,0.27845,0.30718,0.76923,0.60109,0.40786,1.62179,2.24687,7.56673,2.53774,0.00172775,0.00172775,0.00172775
13,440.505,1.14114,1.56853,1.11637,1.34264,0.47991,0.69231,0.67506,0.3616,0.54849,0.61538,0.70992,0.43071,1.19548,1.78417,2.00254,1.76063,0.001703,0.001703,0.001703
14,521.73,1.17019,1.42324,1.03291,1.37025,0.51542,0.76923,0.6883,0.4145,0.62213,0.84615,0.83825,0.5118,1.24523,1.6968,3.01488,1.82589,0.00167825,0.00167825,0.00167825
15,564.071,1.09873,1.3927,1.06222,1.29679,0.52424,0.93273,0.88958,0.49502,0.52424,0.93273,0.91058,0.54805,1.17873,2.1206,6.37534,1.74,0.0016535,0.0016535,0.0016535
16,608.301,1.12521,1.58042,1.18013,1.3219,0.61806,0.92308,0.90283,0.51226,0.57315,0.84615,0.90085,0.5881,1.23991,2.20158,4.07591,1.86213,0.00162875,0.00162875,0.00162875
17,624.321,1.06753,1.3007,1.03134,1.25353,0.70098,0.90254,0.85587,0.46618,0.7587,0.96859,0.87424,0.52674,1.26341,1.86904,1.6987,1.72075,0.001604,0.001604,0.001604
18,639.198,1.0893,1.44923,0.96602,1.29729,0.64229,0.84615,0.86099,0.49237,0.6882,0.84615,0.92056,0.55741,1.44668,1.77109,2.23566,1.87358,0.00157925,0.00157925,0.00157925
19,655.567,1.13061,1.45706,1.03265,1.28686,0.51794,1,0.84727,0.44611,0.4851,0.94269,0.78719,0.44681,1.29028,1.87594,2.83828,1.73774,0.0015545,0.0015545,0.0015545
20,672.76,1.05477,1.40155,0.97607,1.28998,0.67281,0.84615,0.80131,0.53891,0.73397,0.92308,0.78435,0.49667,0.92494,1.63674,1.48811,1.53704,0.00152975,0.00152975,0.00152975
21,688.446,0.95596,1.34591,0.92971,1.24235,0.80059,1,0.87556,0.566,0.80059,1,0.87556,0.5912,0.99022,1.78413,1.46275,1.9362,0.001505,0.001505,0.001505
